Total Sales;$8.762.912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Profit;$1.294.794;;;04.11.2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Transactions;$6.227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date;Store Name;Region;Note;Store Type;Product Name;Product Category;Units Sold;Revenue;Profit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TREEMAP;;;
01.01.2020;Beverly Hills;Los Angeles;;Residential;Action Figure;Toys;63;$1.007;$378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Region;Store;Product Category;Revenue
21.11.2021;Fifth Avenue;New York;;Commercial;PlayDoh Toolkit;Art & Crafts;16;$180;$1.068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.11.2021;Fifth Avenue;New York;;Commercial;Playfoam;Art & Crafts;144;$1.683;$214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.11.2021;Fifth Avenue;New York;;Commercial;Plush Pony;Toys;14;$380;$88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.11.2021;Fifth Avenue;New York;;Commercial;Rubik's Cube;Games;14;$380;$213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.11.2021;Fifth Avenue;New York;;Commercial;Splash Balls;Sports & Outdoors;153;$1.475;$105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.11.2021;Fifth Avenue;New York;;Commercial;Supersoaker Water Gun;Sports & Outdoors;15;$325;$125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.2021;Fifth Avenue;New York;;Commercial;Toy Robot;Electronics;13;$438;$65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.11.2021;Beverly Hills;Los Angeles;;Residential;Action Figure;Toys;57;$1.011;$159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.11.2021;Beverly Hills;Los Angeles;;Residential;Animal Figures;Toys;33;$529;$218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.11.2021;Beverly Hills;Los Angeles;;Residential;Barrel O' Slime;Art & Crafts;79;$415;$114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.11.2021;Beverly Hills;Los Angeles;;Residential;Chutes & Ladders;Games;18;$334;$110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.11.2021;Beverly Hills;Los Angeles;;Residential;Classic Dominoes;Games;25;$350;$908;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.11.2021;Beverly Hills;Los Angeles;;Residential;Colorbuds;Electronics;106;$1.689;$84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.11.2021;Beverly Hills;Los Angeles;;Residential;Dart Gun;Sports & Outdoors;6;$196;$267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.11.2021;Beverly Hills;Los Angeles;;Residential;Deck Of Cards;Games;69;$582;$151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.11.2021;Beverly Hills;Los Angeles;;Residential;Dino Egg;Toys;91;$1.100;$152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.11.2021;Beverly Hills;Los Angeles;;Residential;Dinosaur Figures;Toys;23;$800.100;$240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.11.2021;Beverly Hills;Los Angeles;;Residential;Etch A Sketch;Art & Crafts;18;$478;$126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.11.2021;Beverly Hills;Los Angeles;;Residential;Foam Disk Launcher;Sports & Outdoors;22;$364;$126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.11.2021;Beverly Hills;Los Angeles;;Residential;Gamer Headphones;Electronics;11;$331;$150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.11.2021;Beverly Hills;Los Angeles;;Residential;Glass Marbles;Games;18;$298;$90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.11.2021;Beverly Hills;Los Angeles;;Residential;Hot Wheels 5-Pack;Toys;15;$190;$300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.11.2021;Beverly Hills;Los Angeles;;Residential;Kids Makeup Kit;Art & Crafts;40;$900;$165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.11.2021;Beverly Hills;Los Angeles;;Residential;Lego Bricks;Toys;21;$940;$288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.11.2021;Beverly Hills;Los Angeles;;Residential;Magic Sand;Art & Crafts;114;$1.923;$225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.11.2021;Beverly Hills;Los Angeles;;Residential;Mini Ping Pong Set;Sports & Outdoors;55;$649;$114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.11.2021;Beverly Hills;Los Angeles;;Residential;Monopoly;Games;9;$280;$145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.11.2021;Beverly Hills;Los Angeles;;Residential;Mr. Potatohead;Toys;17;$270;$395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.11.2021;Beverly Hills;Los Angeles;;Residential;Nerf Gun;Sports & Outdoors;67;$1.439;$141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.11.2021;Beverly Hills;Los Angeles;;Residential;PlayDoh Can;Art & Crafts;81;$342;$84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.11.2021;Beverly Hills;Los Angeles;;Residential;PlayDoh Toolkit;Art & Crafts;24;$220;$851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.11.2021;Beverly Hills;Los Angeles;;Residential;Playfoam;Art & Crafts;113;$1.342;$181;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.11.2021;Beverly Hills;Los Angeles;;Residential;Plush Pony;Toys;11;$320;$89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.2021;Beverly Hills;Los Angeles;;Residential;Splash Balls;Sports & Outdoors;29;$361;$285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.2021;Beverly Hills;Los Angeles;;Residential;Toy Robot;Electronics;45;$1.270;$264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.2021;Hollywood;Los Angeles;;Commercial;Action Figure;Toys;34;$644;$312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.11.2021;Hollywood;Los Angeles;;Commercial;Animal Figures;Toys;84;$1.191;$310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.11.2021;Hollywood;Los Angeles;;Commercial;Barrel O' Slime;Art & Crafts;125;$599;$396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.11.2021;Hollywood;Los Angeles;;Commercial;Colorbuds;Electronics;42;$730;$128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.11.2021;Hollywood;Los Angeles;;Commercial;Dart Gun;Sports & Outdoors;17;$372;$483;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.11.2021;Hollywood;Los Angeles;;Commercial;Deck Of Cards;Games;141;$1.086;$126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.11.2021;Hollywood;Los Angeles;;Commercial;Dino Egg;Toys;66;$825;$92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.11.2021;Hollywood;Los Angeles;;Commercial;Dinosaur Figures;Toys;8;$220;$66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.11.2021;Hollywood;Los Angeles;;Commercial;Gamer Headphones;Electronics;1;$121;$105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.11.2021;Hollywood;Los Angeles;;Commercial;Glass Marbles;Games;9;$199;$136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.11.2021;Hollywood;Los Angeles;;Commercial;Hot Wheels 5-Pack;Toys;38;$328;$80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.11.2021;Hollywood;Los Angeles;;Commercial;Lego Bricks;Toys;4;$260;$354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.11.2021;Hollywood;Los Angeles;;Commercial;Magic Sand;Art & Crafts;147;$2.451;$75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.11.2021;Hollywood;Los Angeles;;Commercial;Mini Ping Pong Set;Sports & Outdoors;5;$150;$105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.11.2021;Hollywood;Los Angeles;;Commercial;Mr. Potatohead;Toys;9;$190;$135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.11.2021;Hollywood;Los Angeles;;Commercial;Nerf Gun;Sports & Outdoors;15;$400;$96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.11.2021;Hollywood;Los Angeles;;Commercial;PlayDoh Can;Art & Crafts;36;$208;$93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.11.2021;Hollywood;Los Angeles;;Commercial;PlayDoh Toolkit;Art & Crafts;33;$265;$396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.11.2021;Hollywood;Los Angeles;;Commercial;Playfoam;Art & Crafts;48;$628;$148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.11.2021;Hollywood;Los Angeles;;Commercial;Plush Pony;Toys;8;$260;$114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.11.2021;Hollywood;Los Angeles;;Commercial;Rubik's Cube;Games;27;$640;$109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.11.2021;Hollywood;Los Angeles;;Commercial;Splash Balls;Sports & Outdoors;49;$541;$444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.11.2021;Times Square;New York;;Downtown;Action Figure;Toys;64;$1.123;$258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.11.2021;Times Square;New York;;Downtown;Animal Figures;Toys;66;$957;$414;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.11.2021;Times Square;New York;;Downtown;Barrel O' Slime;Art & Crafts;177;$806;$82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.11.2021;Times Square;New York;;Downtown;Classic Dominoes;Games;11;$210;$1.444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.11.2021;Times Square;New York;;Downtown;Colorbuds;Electronics;173;$2.693;$344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.11.2021;Times Square;New York;;Downtown;Dart Gun;Sports & Outdoors;71;$1.235;$510;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.11.2021;Times Square;New York;;Downtown;Deck Of Cards;Games;150;$1.149;$99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.11.2021;Times Square;New York;;Downtown;Dino Egg;Toys;39;$529;$284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.11.2021;Times Square;New York;;Downtown;Dinosaur Figures;Toys;56;$939;$150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.11.2021;Times Square;New York;;Downtown;Etch A Sketch;Art & Crafts;9;$289;$90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.11.2021;Times Square;New York;;Downtown;Gamer Headphones;Electronics;5;$205;$295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.11.2021;Times Square;New York;;Downtown;Glass Marbles;Games;47;$617;$196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.11.2021;Times Square;New York;;Downtown;Hot Wheels 5-Pack;Toys;68;$507;$186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.11.2021;Times Square;New York;;Downtown;Kids Makeup Kit;Art & Crafts;21;$520;$550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.11.2021;Times Square;New York;;Downtown;Lego Bricks;Toys;98;$4.019;$388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.11.2021;Times Square;New York;;Downtown;Magic Sand;Art & Crafts;164;$2.722;$213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.11.2021;Times Square;New York;;Downtown;Mini Ping Pong Set;Sports & Outdoors;51;$609;$132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.11.2021;Times Square;New York;;Downtown;Monopoly;Games;12;$340;$145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.11.2021;Times Square;New York;;Downtown;Mr. Potatohead;Toys;17;$270;$90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.11.2021;Times Square;New York;;Downtown;Nerf Gun;Sports & Outdoors;6;$220;$323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.11.2021;Times Square;New York;;Downtown;PlayDoh Can;Art & Crafts;263;$886;$80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.11.2021;Times Square;New York;;Downtown;PlayDoh Playset;Art & Crafts;5;$225;$66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.11.2021;Times Square;New York;;Downtown;PlayDoh Toolkit;Art & Crafts;6;$130;$655;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.11.2021;Times Square;New York;;Downtown;Playfoam;Art & Crafts;85;$1.034;$82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.11.2021;Times Square;New York;;Downtown;Rubik's Cube;Games;11;$320;$63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.11.2021;Times Square;New York;;Downtown;Splash Balls;Sports & Outdoors;3;$127;$125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.11.2021;Times Square;New York;;Downtown;Toy Robot;Electronics;13;$438;$92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.11.2021;Times Square;New York;;Downtown;Uno Card Game;Games;8;$164;$576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.11.2021;Millenium;Chicago;;Downtown;Action Figure;Toys;86;$1.475;$237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.2021;Millenium;Chicago;;Downtown;Animal Figures;Toys;59;$866;$398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.2021;Millenium;Chicago;;Downtown;Barrel O' Slime;Art & Crafts;169;$774;$110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.2021;Millenium;Chicago;;Downtown;Classic Dominoes;Games;25;$350;$380;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.11.2021;Millenium;Chicago;;Downtown;Colorbuds;Electronics;40;$700;$252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.11.2021;Millenium;Chicago;;Downtown;Dart Gun;Sports & Outdoors;48;$868;$249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.11.2021;Millenium;Chicago;;Downtown;Deck Of Cards;Games;63;$540;$166;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.11.2021;Millenium;Chicago;;Downtown;Dino Egg;Toys;106;$1.265;$216;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.11.2021;Millenium;Chicago;;Downtown;Dinosaur Figures;Toys;39;$685;$90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.11.2021;Millenium;Chicago;;Downtown;Etch A Sketch;Art & Crafts;3;$163;$205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.11.2021;Millenium;Chicago;;Downtown;Glass Marbles;Games;29;$419;$170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.11.2021;Millenium;Chicago;;Downtown;Hot Wheels 5-Pack;Toys;55;$429;$74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.11.2021;Millenium;Chicago;;Downtown;Jenga;Games;2;$120;$234;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.11.2021;Millenium;Chicago;;Downtown;Kids Makeup Kit;Art & Crafts;29;$680;$460;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.11.2021;Millenium;Chicago;;Downtown;Lego Bricks;Toys;80;$3.299;$268;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.11.2021;Millenium;Chicago;;Downtown;Magic Sand;Art & Crafts;104;$1.763;$267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.11.2021;Millenium;Chicago;;Downtown;Mini Ping Pong Set;Sports & Outdoors;69;$789;$114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.11.2021;Millenium;Chicago;;Downtown;Monopoly;Games;9;$280;$165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.11.2021;Millenium;Chicago;;Downtown;Mr. Potatohead;Toys;21;$310;$360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.11.2021;Millenium;Chicago;;Downtown;Nerf Gun;Sports & Outdoors;60;$1.299;$137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.11.2021;Millenium;Chicago;;Downtown;PlayDoh Can;Art & Crafts;77;$330;$116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.11.2021;Millenium;Chicago;;Downtown;PlayDoh Playset;Art & Crafts;14;$450;$116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.11.2021;Millenium;Chicago;;Downtown;Playfoam;Art & Crafts;8;$188;$184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.11.2021;Millenium;Chicago;;Downtown;Rubik's Cube;Games;62;$1.339;$129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.11.2021;Millenium;Chicago;;Downtown;Splash Balls;Sports & Outdoors;69;$720;$74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.11.2021;Millenium;Chicago;;Downtown;Teddy Bear;Toys;7;$191;$165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.11.2021;Millenium;Chicago;;Downtown;Toy Robot;Electronics;21;$646;$138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.11.2021;LAX;Los Angeles;;Airport;Action Figure;Toys;13;$308;$96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.11.2021;LAX;Los Angeles;;Airport;Animal Figures;Toys;12;$256;$178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.11.2021;LAX;Los Angeles;;Airport;Barrel O' Slime;Art & Crafts;59;$335;$1.260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.11.2021;LAX;Los Angeles;;Airport;Colorbuds;Electronics;150;$2.349;$112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.2021;LAX;Los Angeles;;Airport;Dart Gun;Sports & Outdoors;13;$308;$432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.2021;LAX;Los Angeles;;Airport;Deck Of Cards;Games;124;$967;$145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.2021;LAX;Los Angeles;;Airport;Dino Egg;Toys;85;$1.034;$316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.11.2021;LAX;Los Angeles;;Airport;Dinosaur Figures;Toys;64;$1.059;$120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.11.2021;LAX;Los Angeles;;Airport;Etch A Sketch;Art & Crafts;6;$226;$303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.11.2021;LAX;Los Angeles;;Airport;Foam Disk Launcher;Sports & Outdoors;81;$1.071;$138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.11.2021;LAX;Los Angeles;;Airport;Gamer Headphones;Electronics;13;$373;$530;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.11.2021;LAX;Los Angeles;;Airport;Glass Marbles;Games;94;$1.133;$78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.11.2021;LAX;Los Angeles;;Airport;Hot Wheels 5-Pack;Toys;9;$154;$126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.11.2021;LAX;Los Angeles;;Airport;Kids Makeup Kit;Art & Crafts;11;$320;$550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.11.2021;LAX;Los Angeles;;Airport;Lego Bricks;Toys;98;$4.019;$354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.11.2021;LAX;Los Angeles;;Airport;Magic Sand;Art & Crafts;147;$2.451;$102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.11.2021;LAX;Los Angeles;;Airport;Mini Ping Pong Set;Sports & Outdoors;14;$240;$155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.11.2021;LAX;Los Angeles;;Airport;Nerf Gun;Sports & Outdoors;19;$480;$191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.11.2021;LAX;Los Angeles;;Airport;PlayDoh Can;Art & Crafts;131;$492;$88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.11.2021;LAX;Los Angeles;;Airport;PlayDoh Playset;Art & Crafts;7;$275;$97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.11.2021;LAX;Los Angeles;;Airport;PlayDoh Toolkit;Art & Crafts;37;$285;$382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.11.2021;LAX;Los Angeles;;Airport;Playfoam;Art & Crafts;46;$606;$154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.11.2021;LAX;Los Angeles;;Airport;Rubik's Cube;Games;47;$1.040;$75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.11.2021;LAX;Los Angeles;;Airport;Splash Balls;Sports & Outdoors;15;$235;$90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.11.2021;LAX;Los Angeles;;Airport;Teddy Bear;Toys;15;$295;$130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.11.2021;LAX;Los Angeles;;Airport;Toy Robot;Electronics;14;$464;$204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.11.2021;O'Hare;Chicago;;Airport;Action Figure;Toys;24;$484;$135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.11.2021;O'Hare;Chicago;;Airport;Animal Figures;Toys;25;$425;$330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.11.2021;O'Hare;Chicago;;Airport;Barrel O' Slime;Art & Crafts;135;$639;$548;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.11.2021;O'Hare;Chicago;;Airport;Colorbuds;Electronics;61;$1.014;$264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.11.2021;O'Hare;Chicago;;Airport;Dart Gun;Sports & Outdoors;51;$915;$360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.11.2021;O'Hare;Chicago;;Airport;Deck Of Cards;Games;100;$799;$123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.11.2021;O'Hare;Chicago;;Airport;Dino Egg;Toys;63;$792;$144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.11.2021;O'Hare;Chicago;;Airport;Foam Disk Launcher;Sports & Outdoors;28;$436;$366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.2021;O'Hare;Chicago;;Airport;Gamer Headphones;Electronics;51;$1.170;$96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.2021;O'Hare;Chicago;;Airport;Hot Wheels 5-Pack;Toys;18;$208;$198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.2021;O'Hare;Chicago;;Airport;Kids Makeup Kit;Art & Crafts;23;$560;$590;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.11.2021;O'Hare;Chicago;;Airport;Lego Bricks;Toys;106;$4.339;$222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.11.2021;O'Hare;Chicago;;Airport;Magic Sand;Art & Crafts;81;$1.395;$219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.11.2021;O'Hare;Chicago;;Airport;Mini Ping Pong Set;Sports & Outdoors;53;$629;$255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.11.2021;O'Hare;Chicago;;Airport;Mr. Potatohead;Toys;39;$490;$540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
